x,y,class
0.564,0.542,0
0.355,0.339,0
0.478,0.518,0
0.368,0.310,0
0.431,0.599,0
0.530,0.438,0
0.591,0.386,0
0.329,0.485,0
0.401,0.505,0
0.330,0.482,0
0.605,0.494,0
0.498,0.602,0
0.422,0.442,0
0.576,0.417,0
0.433,0.264,0
0.592,0.314,0
0.254,0.358,0
0.195,0.287,0
0.438,0.579,0
0.423,0.476,0
0.418,0.273,0
0.402,0.399,0
0.562,0.446,0
0.339,0.636,0
0.565,0.344,0
0.557,0.257,0
0.480,0.475,0
0.591,0.298,0
0.477,0.506,0
0.397,0.504,0
0.671,0.387,0
0.262,0.489,0
0.483,0.360,0
0.450,0.403,0
0.395,0.448,0
0.615,0.339,0
0.509,0.434,0
0.516,0.573,0
0.538,0.472,0
0.542,0.376,0
0.530,0.425,0
0.374,0.264,0
0.264,0.392,0
0.409,0.475,0
0.402,0.495,0
0.405,0.455,0
0.520,0.423,0
0.458,0.576,0
0.526,0.622,0
0.465,0.351,0
0.470,0.540,0
0.601,0.310,0
0.259,0.587,0
0.394,0.524,0
0.607,0.563,0
0.431,0.225,0
0.494,0.516,0
0.376,0.570,0
0.628,0.457,0
0.580,0.392,0
0.527,0.492,0
0.403,0.491,0
0.516,0.537,0
0.480,0.482,0
0.672,0.534,0
0.331,0.462,0
0.506,0.255,0
0.600,0.374,0
0.540,0.432,0
0.543,0.406,0
0.440,0.389,0
0.485,0.336,0
0.385,0.718,0
0.465,0.635,0
0.494,0.538,0
0.545,0.380,0
0.218,0.459,0
0.469,0.349,0
0.235,0.612,0
0.505,0.612,0
0.487,0.572,0
0.538,0.421,0
0.493,0.551,0
0.628,0.586,0
0.495,0.589,0
0.453,0.370,0
0.448,0.318,0
0.447,0.647,0
0.588,0.323,0
0.479,0.603,0
0.460,0.319,0
0.628,0.490,0
0.400,0.246,0
0.559,0.346,0
0.646,0.543,0
0.586,0.739,0
0.401,0.379,0
0.607,0.366,0
0.417,0.280,0
0.397,0.191,0
0.480,0.335,0
0.279,0.458,0
0.317,0.520,0
0.321,0.575,0
0.451,0.516,0
0.318,0.531,0
0.511,0.462,0
0.489,0.392,0
0.493,0.370,0
0.456,0.376,0
0.568,0.542,0
0.574,0.443,0
0.393,0.555,0
0.544,0.381,0
0.539,0.197,0
0.492,0.491,0
0.534,0.415,0
0.557,0.427,0
0.466,0.517,0
0.487,0.460,0
0.326,0.423,0
0.390,0.435,0
0.638,0.634,0
0.373,0.435,0
0.464,0.359,0
0.469,0.522,0
0.406,0.432,0
0.530,0.589,0
0.415,0.555,0
0.455,0.587,0
0.477,0.453,0
0.367,0.490,0
0.473,0.502,0
0.428,0.545,0
0.435,0.334,0
0.542,0.361,0
0.458,0.547,0
0.408,0.446,0
0.403,0.364,0
0.671,0.383,0
0.630,0.522,0
0.533,0.601,0
0.637,0.468,0
0.532,0.344,0
0.318,0.490,0
0.479,0.541,0
0.454,0.491,0
0.364,0.410,0
0.543,0.494,0
0.374,0.350,0
0.565,0.508,0
0.398,0.356,0
0.331,0.608,0
0.614,0.548,0
0.370,0.520,0
0.507,0.340,0
0.422,0.309,0
0.470,0.338,0
0.406,0.489,0
0.261,0.624,0
0.419,0.508,0
0.387,0.435,0
0.444,0.548,0
0.431,0.242,0
0.430,0.337,0
0.400,0.460,0
0.377,0.360,0
0.621,0.457,0
0.397,0.467,0
0.451,0.488,0
0.507,0.604,0
0.721,0.523,0
0.379,0.571,0
0.527,0.336,0
0.482,0.546,0
0.289,0.501,0
0.506,0.530,0
0.452,0.451,0
0.400,0.475,0
0.459,0.565,0
0.523,0.270,0
0.508,0.551,0
0.447,0.611,0
0.594,0.448,0
0.348,0.546,0
0.353,0.393,0
0.415,0.367,0
0.627,0.445,0
0.370,0.595,0
0.497,0.378,0
0.417,0.625,0
0.319,0.393,0
0.368,0.389,0
0.688,0.406,0
0.369,0.246,0
0.466,0.252,0
0.513,0.367,0
0.306,0.482,0
0.287,0.337,0
0.496,0.355,0
0.548,0.458,0
0.233,0.512,0
0.410,0.457,0
0.311,0.317,0
0.336,0.458,0
0.518,0.328,0
0.486,0.487,0
0.492,0.370,0
0.488,0.452,0
0.465,0.542,0
0.581,0.551,0
0.462,0.344,0
0.529,0.426,0
0.437,0.387,0
0.485,0.349,0
0.370,0.537,0
0.366,0.320,0
0.553,0.525,0
0.649,0.588,0
0.558,0.548,0
0.576,0.451,0
0.575,0.392,0
0.506,0.527,0
0.456,0.464,0
0.404,0.450,0
0.591,0.380,0
0.569,0.609,0
0.508,0.543,0
0.431,0.524,0
0.374,0.302,0
0.489,0.546,0
0.493,0.379,0
0.523,0.521,0
0.466,0.515,0
0.545,0.604,0
0.462,0.571,0
0.487,0.348,0
