x,y,class
0.019,0.412,1
0.017,0.453,1
0.073,0.457,1
0.117,0.484,1
0.109,0.452,1
0.119,0.448,1
0.113,0.402,1
0.102,0.394,1
0.090,0.383,1
0.076,0.362,1
0.064,0.330,1
0.069,0.314,1
0.087,0.314,1
0.098,0.354,1
0.160,0.478,1
0.170,0.433,1
0.158,0.386,1
0.157,0.358,1
0.130,0.343,1
0.122,0.316,1
0.146,0.316,1
0.134,0.304,1
0.116,0.280,1
0.101,0.269,1
0.113,0.258,1
0.180,0.214,1
0.226,0.184,1
0.217,0.233,1
0.204,0.331,1
0.249,0.293,1
0.280,0.287,1
0.294,0.278,1
0.259,0.203,1
0.277,0.188,1
0.296,0.181,1
0.304,0.183,1
0.314,0.202,1
0.312,0.210,1
0.337,0.262,1
0.338,0.250,1
0.271,0.336,1
0.270,0.323,1
0.283,0.310,1
0.292,0.314,1
0.306,0.311,1
0.310,0.296,1
0.320,0.297,1
0.316,0.308,1
0.313,0.317,1
0.312,0.324,1
0.382,0.249,1
0.393,0.248,1
0.390,0.240,1
0.378,0.203,1
0.368,0.198,1
0.426,0.237,1
0.418,0.251,1
0.476,0.226,1
0.351,0.326,1
0.369,0.330,1
0.388,0.339,1
0.400,0.334,1
0.406,0.351,1
0.400,0.304,1
0.413,0.306,1
0.427,0.312,1
0.432,0.309,1
0.447,0.320,1
0.447,0.336,1
0.442,0.348,1
0.432,0.377,1
0.428,0.384,1
0.473,0.304,1
0.509,0.274,1
0.514,0.264,1
0.539,0.292,1
0.490,0.350,1
0.466,0.394,1
0.481,0.417,1
0.479,0.429,1
0.480,0.438,1
0.478,0.456,1
0.498,0.433,1
0.494,0.398,1
0.514,0.377,1
0.522,0.360,1
0.528,0.351,1
0.559,0.360,1
0.567,0.368,1
0.511,0.400,1
0.532,0.406,1
0.576,0.410,1
0.614,0.452,1
0.513,0.476,1
0.522,0.462,1
0.534,0.469,1
0.544,0.473,1
0.314,0.414,0
0.318,0.427,0
0.318,0.450,0
0.328,0.464,0
0.341,0.456,0
0.354,0.434,0
0.367,0.421,0
0.386,0.421,0
0.381,0.438,0
0.370,0.442,0
0.367,0.463,0
0.361,0.468,0
0.356,0.483,0
0.353,0.507,0
0.337,0.532,0
0.338,0.540,0
0.378,0.452,0
0.376,0.459,0
0.386,0.457,0
0.381,0.464,0
0.384,0.469,0
0.393,0.467,0
0.378,0.476,0
0.374,0.482,0
0.369,0.488,0
0.380,0.489,0
0.388,0.486,0
0.396,0.484,0
0.391,0.492,0
0.382,0.500,0
0.383,0.508,0
0.380,0.517,0
0.377,0.526,0
0.367,0.529,0
0.361,0.522,0
0.357,0.536,0
0.370,0.558,0
0.371,0.547,0
0.377,0.550,0
0.384,0.551,0
0.401,0.536,0
0.413,0.522,0
0.420,0.532,0
0.416,0.550,0
0.399,0.558,0
0.409,0.577,0
0.388,0.569,0
0.391,0.574,0
0.393,0.581,0
0.384,0.584,0
0.377,0.584,0
0.372,0.586,0
0.440,0.579,0
0.424,0.588,0
0.389,0.616,0
0.390,0.620,0
0.397,0.632,0
0.404,0.614,0
0.429,0.598,0
0.431,0.603,0
0.423,0.603,0
0.420,0.611,0
0.413,0.626,0
0.416,0.630,0
0.430,0.618,0
0.443,0.616,0
0.444,0.602,0
0.451,0.602,0
0.457,0.604,0
0.408,0.646,0
0.414,0.647,0
0.429,0.644,0
0.424,0.648,0
0.426,0.652,0
0.471,0.604,0
0.476,0.604,0
0.469,0.622,0
