x,y,class
0.000,0.000,0
0.001,0.010,0
0.006,0.019,0
0.016,0.026,0
0.021,0.035,0
0.000,0.051,0
0.025,0.055,0
0.018,0.068,0
0.024,0.077,0
0.039,0.082,0
0.042,0.092,0
0.075,0.082,0
0.072,0.097,0
0.069,0.112,0
0.086,0.112,0
0.094,0.118,0
0.131,0.095,0
0.103,0.137,0
0.129,0.128,0
0.108,0.159,0
0.059,0.193,0
0.176,0.118,0
0.194,0.108,0
0.164,0.165,0
0.240,0.036,0
0.166,0.190,0
0.229,0.128,0
0.237,0.135,0
0.280,0.037,0
0.291,0.031,0
0.287,0.098,0
0.304,0.075,0
0.290,0.142,0
0.269,0.197,0
0.331,0.090,0
0.351,0.044,0
0.361,-0.047,0
0.369,-0.061,0
0.381,0.043,0
0.393,0.022,0
0.399,0.066,0
0.406,0.082,0
0.414,0.091,0
0.369,-0.230,0
0.442,-0.047,0
0.449,-0.072,0
0.464,-0.017,0
0.420,-0.221,0
0.484,-0.022,0
0.462,-0.177,0
0.487,-0.135,0
0.434,-0.277,0
0.478,-0.218,0
0.506,-0.176,0
0.449,-0.310,0
0.411,-0.373,0
0.431,-0.367,0
0.404,-0.410,0
0.468,-0.353,0
0.440,-0.402,0
0.456,-0.399,0
0.419,-0.451,0
0.449,-0.437,0
0.514,-0.375,0
0.321,-0.561,0
0.368,-0.543,0
0.479,-0.464,0
0.227,-0.638,0
0.374,-0.576,0
0.235,-0.656,0
0.118,-0.697,0
0.175,-0.695,0
0.003,-0.727,0
0.313,-0.667,0
0.053,-0.746,0
0.186,-0.734,0
0.186,-0.745,0
0.113,-0.769,0
0.041,-0.787,0
-0.049,-0.796,0
0.115,-0.800,0
-0.251,-0.779,0
-0.217,-0.799,0
0.080,-0.835,0
-0.443,-0.723,0
-0.534,-0.672,0
-0.468,-0.732,0
-0.291,-0.829,0
-0.176,-0.871,0
-0.555,-0.707,0
-0.366,-0.832,0
-0.646,-0.654,0
-0.538,-0.758,0
-0.681,-0.647,0
-0.632,-0.709,0
-0.713,-0.642,0
-0.653,-0.717,0
-0.888,-0.414,0
-0.739,-0.658,0
-0.807,-0.591,0
-0.000,-0.000,1
-0.006,-0.008,1
-0.013,-0.016,1
-0.028,-0.012,1
-0.029,-0.029,1
-0.050,-0.006,1
-0.052,-0.032,1
-0.059,-0.039,1
-0.081,-0.000,1
-0.091,-0.005,1
-0.101,0.007,1
-0.111,-0.010,1
-0.112,-0.047,1
-0.129,0.025,1
-0.139,-0.028,1
-0.151,0.008,1
-0.160,0.020,1
-0.171,-0.010,1
-0.180,0.025,1
-0.186,0.046,1
-0.199,0.034,1
-0.211,-0.018,1
-0.216,0.052,1
-0.206,0.108,1
-0.241,0.029,1
-0.244,0.067,1
-0.254,0.065,1
-0.200,0.186,1
-0.241,0.149,1
-0.251,0.151,1
